county,ageIndex2020,ageIndex2021,ageIndex2022,ageIndex2023,ageIndex2024,ageIndex2025,ageIndexPointChange20to25,ageIndexPctChange20to25,seniorAbsoluteChange,children014AbsoluteChange
Beaverhead County,165.2,169.3,176,183.6,190.4,203.1,37.9,22.96,277,-123
Big Horn County,48.9,50,52.6,56.9,59,62.9,14,28.57,192,-494
Blaine County,65.8,68.4,73.4,81.1,85.1,88.2,22.4,34.09,196,-208
Broadwater County,131.5,129,125.8,129.5,130.7,133.2,1.8,1.36,421,300
Carbon County,172.5,179.5,182.8,199.2,208.2,221.1,48.6,28.19,841,34
Carter County,146.3,151.6,160.2,161.1,152.5,160.4,14.1,9.64,25,-7
Cascade County,102.4,106.2,109.9,113.9,117.5,119,16.6,16.22,1683,-794
Chouteau County,109.3,116.5,125,134.8,141.6,150.7,41.4,37.87,203,-185
Custer County,113.8,116.2,116.8,122.4,129.9,136.1,22.3,19.59,280,-146
Daniels County,144,146.9,163.4,169.9,169,181.5,37.5,26.04,50,-33
Dawson County,115,119,126.2,130,132.3,134.6,19.5,16.99,164,-112
Deer Lodge County,209,214.7,223.4,236.3,239.3,258.2,49.2,23.56,465,-43
Fallon County,81.7,87.8,91,99.2,104.7,113,31.3,38.24,129,-72
Fergus County,151.5,151.4,156.1,157.5,160.5,161.2,9.7,6.38,312,74
Flathead County,118.2,120.1,120.7,123.7,128.7,133.4,15.3,12.92,4064,857
Gallatin County,81.7,85,89.3,93.9,98,103.2,21.4,26.2,3279,-871
Garfield County,141.4,129.6,125.8,126.9,132.3,134.6,-6.8,-4.78,-14,1
Glacier County,50.6,53.9,56,60.2,64.7,69.9,19.3,38.15,341,-488
Golden Valley County,216.8,206.8,216.7,214.7,212.2,194.3,-22.5,-10.37,29,28
Granite County,200,207.3,228.7,222.3,242.1,281.4,81.4,40.71,150,-85
Hill County,68.7,71.4,74.3,77.2,80.3,82,13.3,19.42,415,-114
Jefferson County,143.4,151.6,150.1,155.7,161.2,168.7,25.2,17.6,613,57
Judith Basin County,177.6,183,189.7,204.2,209.8,214.7,37.1,20.87,123,1
Lake County,127.6,134.8,140.6,148.8,156.4,165.3,37.7,29.53,1514,-443
Lewis and Clark County,108.6,113.1,117.7,121.8,128.3,135,26.4,24.3,2747,-481
Liberty County,120.8,119.1,114.1,114.3,119.7,123.7,2.9,2.43,8,-3
Lincoln County,202.4,204.8,205.9,211.1,215.8,223.1,20.7,10.23,1138,234
McCone County,137.5,149.5,160.2,177.9,177.9,183.4,45.9,33.42,75,-36
Madison County,227.2,232.4,227.6,228.2,231.7,231.1,3.9,1.72,438,170
Meagher County,202.6,216.8,206,218.2,235.3,230.7,28.1,13.86,156,35
Mineral County,177.4,174.9,182.7,194.3,202.8,211,33.6,18.92,261,9
Missoula County,108.6,114.3,119.6,126.8,132.3,137.6,29,26.71,3482,-1492
Musselshell County,169.3,168,154.5,160.1,159.8,157.2,-12.1,-7.14,218,197
Park County,164.7,168.8,174.9,173.8,182,188.3,23.7,14.37,660,45
Petroleum County,254.7,263.5,266.2,265.7,271.4,270.4,15.7,6.18,29,7
Phillips County,123,124.8,125,127.5,133.4,141.2,18.2,14.8,98,-35
Pondera County,114.5,117.8,115.7,118.5,126.5,133.2,18.7,16.34,192,-19
Powder River County,191.4,185.9,184.2,175.9,181.9,196.5,5.1,2.69,76,32
Powell County,175.7,184.8,191.7,193.1,201.7,202.1,26.4,15,286,28
Prairie County,191,186.9,186.4,200,222.2,236.8,45.8,23.98,70,-7
Ravalli County,180.7,179.8,181.2,189,196.7,201.5,20.8,11.52,2131,345
Richland County,76.6,83.1,87.7,92.1,96.9,95,18.4,24.02,356,-83
Roosevelt County,50.4,49.9,52.5,55.7,58.9,60.9,10.5,20.91,99,-347
Rosebud County,74.2,75.3,76.3,80.9,82.7,85.1,10.9,14.77,128,-101
Sanders County,232.5,240.3,242.2,250.1,259.5,265.8,33.3,14.3,865,108
Sheridan County,140.8,148.6,152.5,157.6,162.5,169.3,28.6,20.29,49,-77
Silver Bow County,122.6,125.7,129.9,135,142.1,147,24.4,19.9,930,-353
Stillwater County,145.3,151.6,157.5,166.6,167.5,172.1,26.8,18.47,441,18
Sweet Grass County,170.1,182.8,190.1,195.5,205.8,234,63.9,37.59,170,-88
Teton County,120.1,126.8,125.1,121.4,126.3,128.6,8.5,7.1,176,55
Toole County,106.5,108.9,104.6,106.2,108.9,106.7,0.1,0.13,62,57
Treasure County,126.9,134,142.6,137.7,143.2,162.1,35.3,27.8,24,-20
Valley County,122.5,128.6,131.3,138.3,145,148.1,25.6,20.94,186,-121
Wheatland County,132.5,141.1,145,154.4,159.2,158.9,26.4,19.93,77,-17
Wibaux County,161.8,160.3,150.6,141.7,132.5,137,-24.7,-15.3,-32,5
Yellowstone County,93.5,96.4,100.2,105.3,109.4,113.6,20.1,21.54,5213,-1025
